accession,gene,name
Q9NQX4,MYO5C,Unconventional myosin-Vc
Q9NVG8,TBC1D13,TBC1 domain family member 13
Q9NZ53,PODXL2,Podocalyxin-like protein 2
Q9P126,CLEC1B,C-type lectin domain family 1 member B
Q9UHG2,PCSK1N,ProSAAS
Q9UPT6,MAPK8IP3,C-Jun-amino-terminal kinase-interacting protein 3
Q9Y265,RUVBL1,RuvB-like 1
Q9Y4A5,TRRAP,Transformation/transcription domain-associated protein
O15553,MEFV,Pyrin
O43240,KLK10,Kallikrein-10
O75410,TACC1,Transforming acidic coiled-coil-containing protein 1
P42892,ECE1,Endothelin-converting enzyme 1
Q15293,RCN1,Reticulocalbin-1
Q16643,DBN1,Drebrin
Q5T0L3,SPATA46,Spermatogenesis-associated protein 46
Q5T124,UBXN11,UBX domain-containing protein 11
Q8WUX1,SLC38A5,Sodium-coupled neutral amino acid transporter 5
Q96T83,SLC9A7,Sodium/hydrogen exchanger 7
Q9H195,MUC3B,Mucin-3B
Q9ULT0,TTC7A,Tetratricopeptide repeat protein 7A
A8MVZ5,BTNL10P,Putative butyrophilin-like protein 10
P00480,OTC,"Ornithine transcarbamylase, mitochondrial"
P31327,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial"
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1
P34913,EPHX2,Bifunctional epoxide hydrolase 2
P36542,ATP5F1C,"ATP synthase F(1) complex subunit gamma, mitochondrial"
Q13162,PRDX4,Peroxiredoxin-4
Q9BRP4,PAAF1,Proteasomal ATPase-associated factor 1
Q9UBR1,UPB1,Beta-ureidopropionase
O75165,DNAJC13,DnaJ homolog subfamily C member 13
P04156,PRNP,Major prion protein
P05198,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1
P11150,LIPC,Hepatic triacylglycerol lipase
P27338,MAOB,Amine oxidase [flavin-containing] B
P29373,CRABP2,Cellular retinoic acid-binding protein 2
Q04941,PLP2,Proteolipid protein 2
