accession,gene,name
Q9BT78,COPS4,COP9 signalosome complex subunit 4
Q9BXP8,PAPPA2,Pappalysin-2
Q9BXX0,EMILIN2,EMILIN-2
Q9GZZ9,UBA5,Ubiquitin-like modifier-activating enzyme 5
Q9H479,FN3K,Fructosamine-3-kinase
Q9H8J5,MANSC1,MANSC domain-containing protein 1
Q9H9Y6,POLR1B,DNA-directed RNA polymerase I subunit RPA2
Q9HD89,RETN,Resistin
Q9NPA0,EMC7,Endoplasmic reticulum membrane protein complex subunit 7
Q9NPF0,CD320,CD320 antigen
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein
Q9NR12,PDLIM7,PDZ and LIM domain protein 7
Q9NR31,SAR1A,Small COPII coat GTPase SAR1A
Q9NS71,GKN1,Gastrokine-1
Q9NU22,MDN1,Midasin
Q9NZD4,AHSP,Alpha-hemoglobin-stabilizing protein
Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A
Q9UBW5,BIN2,Bridging integrator 2
Q9UHF0,TAC3,Tachykinin-3
Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1
Q9UIW2,PLXNA1,Plexin-A1
Q9UJU6,DBNL,Drebrin-like protein
Q9UK23,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
Q9UKJ5,CHIC2,Cysteine-rich hydrophobic domain-containing protein 2
Q9UMX0,UBQLN1,Ubiquilin-1
Q9UMX5,NENF,Neudesin
Q9UPS8,ANKRD26,Ankyrin repeat domain-containing protein 26
Q9Y376,CAB39,Calcium-binding protein 39
Q9Y3A5,SBDS,Ribosome maturation protein SBDS
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15
A0A0B4J1V7,IGHV7-81,Probable non-functional immunoglobulin heavy variable 7-81
A0A0C4DH30,IGHV3-16,Probable non-functional immunoglobulin heavy variable 3-16
A0A0C4DH32,IGHV3-20,Immunoglobulin heavy variable 3-20
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28
A6NI73,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5
A6NKT7,RGPD3,RanBP2-like and GRIP domain-containing protein 3
O14798,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C
O15335,CHAD,Chondroadherin
O15482,TEX28,Testis-specific protein TEX28
O43173,ST8SIA3,"Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3"
O43516,WIPF1,WAS/WASL-interacting protein family member 1
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44
O43653,PSCA,Prostate stem cell antigen
O75127,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial"
O75129,ASTN2,Astrotactin-2
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B
O75592,MYCBP2,E3 ubiquitin-protein ligase MYCBP2
O75594,PGLYRP1,Peptidoglycan recognition protein 1
O95633,FSTL3,Follistatin-related protein 3
O95677,EYA4,Protein phosphatase EYA4
P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B
P00326,ADH1C,Alcohol dehydrogenase 1C
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1
P00995,SPINK1,Serine protease inhibitor Kazal-type 1
P02008,HBZ,Hemoglobin subunit zeta
P02771,AFP,Alpha-fetoprotein
P02792,FTL,Ferritin light chain
P03973,SLPI,Antileukoproteinase
P06315,IGKV5-2,Immunoglobulin kappa variable 5-2
P07355,ANXA2,Annexin A2
P07988,SFTPB,Pulmonary surfactant-associated protein B
P08670,VIM,Vimentin
P08887,IL6R,Interleukin-6 receptor subunit alpha
P09105,HBQ1,Hemoglobin subunit theta-1
P09972,ALDOC,Fructose-bisphosphate aldolase C
P0DV77,TPRX2,Tetrapeptide repeat homeobox protein 2
P10253,GAA,Lysosomal alpha-glucosidase
P14324,FDPS,Farnesyl pyrophosphate synthase
P14923,JUP,Junction plakoglobin
P15090,FABP4,"Fatty acid-binding protein, adipocyte"
P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
P16109,SELP,P-selectin
P19013,KRT4,"Keratin, type II cytoskeletal 4"
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform"
P24158,PRTN3,Myeloblastin
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase
P25098,GRK2,Beta-adrenergic receptor kinase 1
P28845,HSD11B1,11-beta-hydroxysteroid dehydrogenase 1
P29122,PCSK6,Proprotein convertase subtilisin/kexin type 6
P29279,CCN2,CCN family member 2
P30825,SLC7A1,High affinity cationic amino acid transporter 1
P31151,S100A7,Protein S100-A7
P34096,RNASE4,Ribonuclease 4
P35590,TIE1,Tyrosine-protein kinase receptor Tie-1
P41240,CSK,Tyrosine-protein kinase CSK
P41439,FOLR3,Folate receptor gamma
P42702,LIFR,Leukemia inhibitory factor receptor
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial"
P47929,LGALS7,Galectin-7
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit
P48634,PRRC2A,Protein PRRC2A
P48723,HSPA13,Heat shock 70 kDa protein 13
P48745,CCN3,CCN family member 3
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase
P49448,GLUD2,"Glutamate dehydrogenase 2, mitochondrial"
P50402,EMD,Emerin
P50452,SERPINB8,Serpin B8
P52799,EFNB2,Ephrin-B2
P54922,ADPRH,ADP-ribosylhydrolase ARH1
P55001,MFAP2,Microfibrillar-associated protein 2
P60842,EIF4A1,Eukaryotic initiation factor 4A-I
P61586,RHOA,Transforming protein RhoA
P62913,RPL11,Large ribosomal subunit protein uL5
P63208,SKP1,S-phase kinase-associated protein 1
P68104,EEF1A1,Elongation factor 1-alpha 1
P80511,S100A12,Protein S100-A12
P83105,HTRA4,Serine protease HTRA4
P98095,FBLN2,Fibulin-2
Q02413,DSG1,Desmoglein-1
Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
Q02878,RPL6,Large ribosomal subunit protein eL6
Q03111,MLLT1,Protein ENL
Q04446,GBE1,"1,4-alpha-glucan-branching enzyme"
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2
Q07092,COL16A1,Collagen alpha-1(XVI) chain
Q07507,DPT,Dermatopontin
Q08397,LOXL1,Lysyl oxidase homolog 1
Q09161,NCBP1,Nuclear cap-binding protein subunit 1
Q12888,TP53BP1,TP53-binding protein 1
Q13449,LSAMP,Limbic system-associated membrane protein
Q13508,ART3,Ecto-ADP-ribosyltransferase 3
Q13867,BLMH,Bleomycin hydrolase
Q14683,SMC1A,Structural maintenance of chromosomes protein 1A
Q14764,MVP,Major vault protein
Q16543,CDC37,Hsp90 co-chaperone Cdc37
Q16621,NFE2,Transcription factor NF-E2 45 kDa subunit
Q16769,QPCT,Glutaminyl-peptide cyclotransferase
Q53EU6,GPAT3,Glycerol-3-phosphate acyltransferase 3
Q53RT3,ASPRV1,Retroviral-like aspartic protease 1
Q5KU26,COLEC12,Collectin-12
Q5TIA1,MEI1,Meiosis inhibitor protein 1
Q5VT52,RPRD2,Regulation of nuclear pre-mRNA domain-containing protein 2
Q68E01,INTS3,Integrator complex subunit 3
Q6MZM0,HEPHL1,Ferroxidase HEPHL1
Q7Z2W4,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1
Q86YZ3,HRNR,Hornerin
Q8IZP6,RNF113B,RING finger protein 113B
Q8IZP9,ADGRG2,Adhesion G-protein coupled receptor G2
Q8N114,SHISA5,Protein shisa-5
Q8N1N4,KRT78,"Keratin, type II cytoskeletal 78"
Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7
Q8NB25,FAM184A,Protein FAM184A
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L
Q8TED9,AFAP1L1,Actin filament-associated protein 1-like 1
Q8WVV4,POF1B,Protein POF1B
Q92530,PSMF1,Proteasome inhibitor PI31 subunit
Q92752,TNR,Tenascin-R
Q99653,CHP1,Calcineurin B homologous protein 1
Q9BUI4,POLR3C,DNA-directed RNA polymerase III subunit RPC3
Q9BWV1,BOC,Brother of CDO
Q9BXS5,AP1M1,AP-1 complex subunit mu-1
Q9GZZ6,CHRNA10,Neuronal acetylcholine receptor subunit alpha-10
Q9H8L6,MMRN2,Multimerin-2
Q9H8W3,FAM204A,Protein FAM204A
Q9HCQ7,NPVF,Pro-FMRFamide-related neuropeptide VF
Q9NP55,BPIFA1,BPI fold-containing family A member 1
Q9NR71,ASAH2,Neutral ceramidase
Q9NS15,LTBP3,Latent-transforming growth factor beta-binding protein 3
Q9NSC7,ST6GALNAC1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
Q9UHB6,LIMA1,LIM domain and actin-binding protein 1
Q9UHY7,ENOPH1,Enolase-phosphatase E1
Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase
Q9UN70,PCDHGC3,Protocadherin gamma-C3
Q9UN73,PCDHA6,Protocadherin alpha-6
Q9Y2F5,ICE1,Little elongation complex subunit 1
Q9Y2Y8,PRG3,Proteoglycan 3
Q9Y3R4,NEU2,Sialidase-2
Q9Y4E8,USP15,Ubiquitin carboxyl-terminal hydrolase 15
Q9Y696,CLIC4,Chloride intracellular channel protein 4
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3
O43824,GTPBP6,Putative GTP-binding protein 6
O60508,CDC40,Pre-mRNA-processing factor 17
O75387,SLC43A1,Large neutral amino acids transporter small subunit 3
O75531,BANF1,Barrier-to-autointegration factor
P09848,LCT,Lactase/phlorizin hydrolase
P0CG23,ZNF853,Zinc finger protein 853
P16157,ANK1,Ankyrin-1
P16415,ZNF823,Zinc finger protein 823
P16671,CD36,Platelet glycoprotein 4
P17812,CTPS1,CTP synthase 1
P19367,HK1,Hexokinase-1
P19634,SLC9A1,Sodium/hydrogen exchanger 1
P36959,GMPR,GMP reductase 1
P42677,RPS27,Small ribosomal subunit protein eS27
P48163,ME1,NADP-dependent malic enzyme
P49721,PSMB2,Proteasome subunit beta type-2
P49773,HINT1,Adenosine 5'-monophosphoramidase HINT1
P52907,CAPZA1,F-actin-capping protein subunit alpha-1
P54803,GALC,Galactocerebrosidase
P57735,RAB25,Ras-related protein Rab-25
P63010,AP2B1,AP-2 complex subunit beta
P68402,PAFAH1B2,Platelet-activating factor acetylhydrolase IB subunit alpha2
Q01970,PLCB3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"
Q13098,GPS1,COP9 signalosome complex subunit 1
Q14135,VGLL4,Transcription cofactor vestigial-like protein 4
Q14314,FGL2,Fibroleukin
Q14689,DIP2A,Disco-interacting protein 2 homolog A
Q149M9,NWD1,NACHT domain- and WD repeat-containing protein 1
Q3I5F7,ACOT6,Acyl-coenzyme A thioesterase 6
Q53TS8,CATSPERT,Cation channel sperm-associated targeting subunit tau
Q5FBB7,SGO1,Shugoshin 1
Q5VY43,PEAR1,Platelet endothelial aggregation receptor 1
Q5VZ89,DENND4C,DENN domain-containing protein 4C
Q6JEL2,KLHL10,Kelch-like protein 10
Q6ZXV5,TMTC3,Protein O-mannosyl-transferase TMTC3
Q86VP1,TAX1BP1,Tax1-binding protein 1
Q8IV33,KIAA0825,Uncharacterized protein KIAA0825
Q8IY85,EFCAB13,EF-hand calcium-binding domain-containing protein 13
Q8N201,INTS1,Integrator complex subunit 1
Q8TBP0,TBC1D16,TBC1 domain family member 16
Q92876,KLK6,Kallikrein-6
Q92882,OSTF1,Osteoclast-stimulating factor 1
Q93088,BHMT,Betaine--homocysteine S-methyltransferase 1
Q96F07,CYFIP2,Cytoplasmic FMR1-interacting protein 2
Q9BVG4,PBDC1,Protein PBDC1
Q9H792,PEAK1,Inactive tyrosine-protein kinase PEAK1
Q9HC29,NOD2,Nucleotide-binding oligomerization domain-containing protein 2
Q9HCU5,PREB,Guanine nucleotide-exchange factor SEC12
